"lat_origen","lon_origen","lat_destino","lon_destino","hotel_origen","servicio_destino","num_turistas"
27.762766,-15.592264,27.760815,-15.589158,"Apartamentos_The_Koala_Garden_Suites","Holiday_World_Maspalomas",31
27.762766,-15.592264,27.745996,-15.574797,"Apartamentos_The_Koala_Garden_Suites","Playa_de_Maspalomas",30
27.762766,-15.592264,27.735832,-15.598889,"Apartamentos_The_Koala_Garden_Suites","El_Faro_de_Maspalomas",22
27.762766,-15.592264,27.831776,-15.618175,"Apartamentos_The_Koala_Garden_Suites","Palmitos_Park",17
27.759136,-15.575001,27.759228,-15.574178,"Aparthotel_Buenos_Aires","The_Red_Cow_Restaurant_Sports_Lounge",34
27.759136,-15.575001,27.758362,-15.577019,"Aparthotel_Buenos_Aires","Wapa_Tapa",23
27.759136,-15.575001,27.758038,-15.576907,"Aparthotel_Buenos_Aires","Yumbo_Centrum",19
27.759136,-15.575001,27.758638,-15.577491,"Aparthotel_Buenos_Aires","Martel_House",18
27.759136,-15.575001,27.758499,-15.5775,"Aparthotel_Buenos_Aires","Sparkles_Showbar",17
27.7644221,-15.5743847,27.762928,-15.572214,"Aparthotel_Riu_Flamingo","El_Carreton",17
27.761274,-15.578339,27.758038,-15.576907,"Axel_Beach_Apartments_Lounge_Club_Maspalomas","Yumbo_Centrum",31
27.761274,-15.578339,27.758362,-15.577019,"Axel_Beach_Apartments_Lounge_Club_Maspalomas","Wapa_Tapa",31
27.761274,-15.578339,27.745039,-15.576564,"Axel_Beach_Apartments_Lounge_Club_Maspalomas","Dunas_de_Maspalomas",27
27.761274,-15.578339,27.758596,-15.577383,"Axel_Beach_Apartments_Lounge_Club_Maspalomas","Gio_Bar_Restaurante",19
27.761274,-15.578339,27.758638,-15.577491,"Axel_Beach_Apartments_Lounge_Club_Maspalomas","Martel_House",18
27.761274,-15.578339,27.758778,-15.577394,"Axel_Beach_Apartments_Lounge_Club_Maspalomas","Parrots_Restaurant_Gran_Canaria",16
27.763182,-15.580706,27.745039,-15.576564,"Barcelo_Las_Margaritas","Dunas_de_Maspalomas",34
27.763182,-15.580706,27.758038,-15.576907,"Barcelo_Las_Margaritas","Yumbo_Centrum",29
27.763182,-15.580706,27.831776,-15.618175,"Barcelo_Las_Margaritas","Palmitos_Park",25
27.763182,-15.580706,27.778353,-15.604988,"Barcelo_Las_Margaritas","Aqualand",23
27.763182,-15.580706,27.745996,-15.574797,"Barcelo_Las_Margaritas","Playa_de_Maspalomas",18
27.764914,-15.558122,27.745039,-15.576564,"Beverly_Park_Hotel","Dunas_de_Maspalomas",35
27.764914,-15.558122,27.76437,-15.55787,"Beverly_Park_Hotel","Hotel_Beverly_Park",28
27.764914,-15.558122,27.745226,-15.5762,"Beverly_Park_Hotel","Paseo_Costa_Canaria",17
27.764914,-15.558122,27.758038,-15.576907,"Beverly_Park_Hotel","Yumbo_Centrum",17
27.764914,-15.558122,27.778353,-15.604988,"Beverly_Park_Hotel","Aqualand",16
27.764914,-15.558122,27.831776,-15.618175,"Beverly_Park_Hotel","Palmitos_Park",16
27.756174,-15.570236,27.75745,-15.57574,"Bohemia_Suites_Spa","360",21
27.756174,-15.570236,27.745039,-15.576564,"Bohemia_Suites_Spa","Dunas_de_Maspalomas",18
27.756468,-15.596157,27.745996,-15.574797,"Bungalows_Club_Maspalomas","Playa_de_Maspalomas",40
27.756468,-15.596157,27.831776,-15.618175,"Bungalows_Club_Maspalomas","Palmitos_Park",28
27.756468,-15.596157,27.756832,-15.592,"Bungalows_Club_Maspalomas","El_Nublo",20
27.756468,-15.596157,27.760815,-15.589158,"Bungalows_Club_Maspalomas","Holiday_World_Maspalomas",19
27.753311,-15.590388,27.745996,-15.574797,"Bungalows_Cordial_Sandy_Golf","Playa_de_Maspalomas",21
27.753311,-15.590388,27.735832,-15.598889,"Bungalows_Cordial_Sandy_Golf","El_Faro_de_Maspalomas",16
27.758665,-15.600874,27.745996,-15.574797,"Bungalows_Vista_Oasis_Apartments","Playa_de_Maspalomas",37
27.758665,-15.600874,27.831776,-15.618175,"Bungalows_Vista_Oasis_Apartments","Palmitos_Park",32
27.758665,-15.600874,27.760815,-15.589158,"Bungalows_Vista_Oasis_Apartments","Holiday_World_Maspalomas",22
27.758665,-15.600874,27.778187,-15.604703,"Bungalows_Vista_Oasis_Apartments","Aqualand_Maspalomas",19
27.758753,-15.585032,27.831776,-15.618175,"Bungalows_Vistaflor","Palmitos_Park",18
27.758753,-15.585032,27.745996,-15.574797,"Bungalows_Vistaflor","Playa_de_Maspalomas",16
27.757229,-15.596216,27.831776,-15.618175,"Canary_Garden_Club","Palmitos_Park",26
27.757229,-15.596216,27.745996,-15.574797,"Canary_Garden_Club","Playa_de_Maspalomas",24
27.757229,-15.596216,27.760815,-15.589158,"Canary_Garden_Club","Holiday_World_Maspalomas",19
27.75667,-15.599674,27.831776,-15.618175,"Caybeach_Princess","Palmitos_Park",23
27.75667,-15.599674,27.778187,-15.604703,"Caybeach_Princess","Aqualand_Maspalomas",18
27.75667,-15.599674,27.745996,-15.574797,"Caybeach_Princess","Playa_de_Maspalomas",17
27.741154,-15.604566,27.745996,-15.574797,"ClubHotel_Riu_Gran_Canaria","Playa_de_Maspalomas",64
27.741154,-15.604566,27.831776,-15.618175,"ClubHotel_Riu_Gran_Canaria","Palmitos_Park",38
27.741154,-15.604566,27.735832,-15.598889,"ClubHotel_Riu_Gran_Canaria","El_Faro_de_Maspalomas",36
27.741154,-15.604566,27.73679,-15.602155,"ClubHotel_Riu_Gran_Canaria","Grand_Italia",25
27.741154,-15.604566,27.73658,-15.601819,"ClubHotel_Riu_Gran_Canaria","The_19th_Hole",19
27.741154,-15.604566,27.778187,-15.604703,"ClubHotel_Riu_Gran_Canaria","Aqualand_Maspalomas",17
27.752071,-15.587958,27.745996,-15.574797,"Cordial_Green_Golf","Playa_de_Maspalomas",57
27.752071,-15.587958,27.831776,-15.618175,"Cordial_Green_Golf","Palmitos_Park",42
27.752071,-15.587958,27.735832,-15.598889,"Cordial_Green_Golf","El_Faro_de_Maspalomas",24
27.752071,-15.587958,27.756819,-15.592013,"Cordial_Green_Golf","Broncemar_II",20
27.752071,-15.587958,27.756832,-15.592,"Cordial_Green_Golf","El_Nublo",19
27.752071,-15.587958,27.760815,-15.589158,"Cordial_Green_Golf","Holiday_World_Maspalomas",18
27.752071,-15.587958,27.778187,-15.604703,"Cordial_Green_Golf","Aqualand_Maspalomas",17
27.74987,-15.596651,27.745996,-15.574797,"Dunas_Maspalomas_Resort","Playa_de_Maspalomas",40
27.74987,-15.596651,27.831776,-15.618175,"Dunas_Maspalomas_Resort","Palmitos_Park",31
27.764265,-15.600977,27.745996,-15.574797,"Dunas_Mirador_Maspalomas","Playa_de_Maspalomas",87
27.764265,-15.600977,27.831776,-15.618175,"Dunas_Mirador_Maspalomas","Palmitos_Park",53
27.764265,-15.600977,27.778187,-15.604703,"Dunas_Mirador_Maspalomas","Aqualand_Maspalomas",40
27.764265,-15.600977,27.735832,-15.598889,"Dunas_Mirador_Maspalomas","El_Faro_de_Maspalomas",32
27.764265,-15.600977,27.760815,-15.589158,"Dunas_Mirador_Maspalomas","Holiday_World_Maspalomas",31
27.75482,-15.584923,27.745996,-15.574797,"Eo_Suite_Hotel_Jardin_Dorado","Playa_de_Maspalomas",21
27.75482,-15.584923,27.831776,-15.618175,"Eo_Suite_Hotel_Jardin_Dorado","Palmitos_Park",20
27.75482,-15.584923,27.778187,-15.604703,"Eo_Suite_Hotel_Jardin_Dorado","Aqualand_Maspalomas",19
27.763611,-15.562916,27.745039,-15.576564,"Escorial","Dunas_de_Maspalomas",17
27.763611,-15.562916,27.831776,-15.618175,"Escorial","Palmitos_Park",16
27.772045,-15.547009,27.770649,-15.551623,"Gloria_Palace_San_Agustin_Thalasso_Hotel","Thalasso_Gloria_San_Agustin",284
27.772045,-15.547009,27.772615,-15.546647,"Gloria_Palace_San_Agustin_Thalasso_Hotel","Restaurante_Gorbea",55
27.772045,-15.547009,27.769459,-15.54066,"Gloria_Palace_San_Agustin_Thalasso_Hotel","Playa_de_San_Agustin",26
27.772045,-15.547009,27.831776,-15.618175,"Gloria_Palace_San_Agustin_Thalasso_Hotel","Palmitos_Park",24
27.772045,-15.547009,27.745996,-15.574797,"Gloria_Palace_San_Agustin_Thalasso_Hotel","Playa_de_Maspalomas",24
27.772045,-15.547009,27.778187,-15.604703,"Gloria_Palace_San_Agustin_Thalasso_Hotel","Aqualand_Maspalomas",18
27.772045,-15.547009,27.768541,-15.549725,"Gloria_Palace_San_Agustin_Thalasso_Hotel","Greek_Taverna",18
27.756775,-15.572313,27.758362,-15.577019,"Gold_By_Marina","Wapa_Tapa",54
27.756775,-15.572313,27.758038,-15.576907,"Gold_By_Marina","Yumbo_Centrum",32
27.756775,-15.572313,27.75625,-15.572233,"Gold_By_Marina","Chez_Luici",32
27.756775,-15.572313,27.745039,-15.576564,"Gold_By_Marina","Dunas_de_Maspalomas",31
27.756775,-15.572313,27.759338,-15.574592,"Gold_By_Marina","Fusion_Restaurant_Loungebar",27
27.756775,-15.572313,27.920219,-15.547437,"Gold_By_Marina","Chez_Luigi",24
27.756775,-15.572313,27.758596,-15.577383,"Gold_By_Marina","Gio_Bar_Restaurante",20
27.756775,-15.572313,27.760571,-15.576725,"Gold_By_Marina","Mana_264",17
27.756775,-15.572313,27.758804,-15.576735,"Gold_By_Marina","Mana_264",17
27.756775,-15.572313,27.831776,-15.618175,"Gold_By_Marina","Palmitos_Park",17
27.756775,-15.572313,27.766939,-15.6875,"Gold_By_Marina","Nikolay_Dobrev_Massage_Therapist",16
27.756775,-15.572313,27.745996,-15.574797,"Gold_By_Marina","Playa_de_Maspalomas",16
27.756775,-15.572313,27.758528,-15.577722,"Gold_By_Marina","El_Chacho_Restaurante_Mexicano",16
27.746447,-15.610778,27.745996,-15.574797,"H10_Playa_Meloneras_Palace","Playa_de_Maspalomas",92
27.746447,-15.610778,27.735832,-15.598889,"H10_Playa_Meloneras_Palace","El_Faro_de_Maspalomas",55
27.746447,-15.610778,27.745308,-15.611561,"H10_Playa_Meloneras_Palace","Ciao_Ciao_Meloneras",41
27.746447,-15.610778,27.831776,-15.618175,"H10_Playa_Meloneras_Palace","Palmitos_Park",39
27.746447,-15.610778,27.73679,-15.602155,"H10_Playa_Meloneras_Palace","Grand_Italia",25
27.746447,-15.610778,27.745415,-15.611623,"H10_Playa_Meloneras_Palace","Casa_Serafin",19
27.746447,-15.610778,27.73658,-15.601819,"H10_Playa_Meloneras_Palace","The_19th_Hole",18
27.76174,-15.581139,27.831776,-15.618175,"HD_Parque_Cristobal_Gran_Canaria","Palmitos_Park",34
27.76174,-15.581139,27.778353,-15.604988,"HD_Parque_Cristobal_Gran_Canaria","Aqualand",32
27.76174,-15.581139,27.745039,-15.576564,"HD_Parque_Cristobal_Gran_Canaria","Dunas_de_Maspalomas",18
27.747173,-15.597267,27.745996,-15.574797,"Hotel_Dunas_Suites_and_Villas_Resort","Playa_de_Maspalomas",77
27.747173,-15.597267,27.831776,-15.618175,"Hotel_Dunas_Suites_and_Villas_Resort","Palmitos_Park",62
27.747173,-15.597267,27.735832,-15.598889,"Hotel_Dunas_Suites_and_Villas_Resort","El_Faro_de_Maspalomas",42
27.763369,-15.574149,27.778353,-15.604988,"Hotel_Eugenia_Victoria","Aqualand",21
27.763369,-15.574149,27.745039,-15.576564,"Hotel_Eugenia_Victoria","Dunas_de_Maspalomas",19
27.763369,-15.574149,27.831776,-15.618175,"Hotel_Eugenia_Victoria","Palmitos_Park",19
27.763369,-15.574149,27.758038,-15.576907,"Hotel_Eugenia_Victoria","Yumbo_Centrum",17
27.759407,-15.575998,27.758038,-15.576907,"Hotel_Neptuno_Gran_Canaria","Yumbo_Centrum",21
27.759407,-15.575998,27.745039,-15.576564,"Hotel_Neptuno_Gran_Canaria","Dunas_de_Maspalomas",19
27.759407,-15.575998,27.758362,-15.577019,"Hotel_Neptuno_Gran_Canaria","Wapa_Tapa",16
27.760077,-15.578319,27.758038,-15.576907,"Hotel_Riu_Don_Miguel","Yumbo_Centrum",35
27.760077,-15.578319,27.745039,-15.576564,"Hotel_Riu_Don_Miguel","Dunas_de_Maspalomas",29
27.760077,-15.578319,27.758074,-15.577085,"Hotel_Riu_Don_Miguel","Ricky_s_Cabaret_Bar",20
27.760077,-15.578319,27.758499,-15.5775,"Hotel_Riu_Don_Miguel","Sparkles_Showbar",17
27.74609,-15.57668,27.745039,-15.576564,"Hotel_Riu_Palace_Maspalomas","Dunas_de_Maspalomas",35
27.74609,-15.57668,27.745996,-15.574797,"Hotel_Riu_Palace_Maspalomas","Playa_de_Maspalomas",17
27.74609,-15.57668,27.758038,-15.576907,"Hotel_Riu_Palace_Maspalomas","Yumbo_Centrum",17
27.740101,-15.602326,27.745996,-15.574797,"Hotel_Riu_Palace_Meloneras_Resort","Playa_de_Maspalomas",27
27.740101,-15.602326,27.73679,-15.602155,"Hotel_Riu_Palace_Meloneras_Resort","Grand_Italia",27
27.740101,-15.602326,27.735832,-15.598889,"Hotel_Riu_Palace_Meloneras_Resort","El_Faro_de_Maspalomas",25
27.740101,-15.602326,27.831776,-15.618175,"Hotel_Riu_Palace_Meloneras_Resort","Palmitos_Park",22
27.736519,-15.597328,27.745996,-15.574797,"Hotel_Riu_Palace_Oasis","Playa_de_Maspalomas",46
27.736519,-15.597328,27.735832,-15.598889,"Hotel_Riu_Palace_Oasis","El_Faro_de_Maspalomas",24
27.736519,-15.597328,27.831776,-15.618175,"Hotel_Riu_Palace_Oasis","Palmitos_Park",20
27.763611,-15.571388,27.745039,-15.576564,"Hotel_Servatur_Waikiki","Dunas_de_Maspalomas",26
27.763611,-15.571388,27.831776,-15.618175,"Hotel_Servatur_Waikiki","Palmitos_Park",22
27.763611,-15.571388,27.758038,-15.576907,"Hotel_Servatur_Waikiki","Yumbo_Centrum",20
27.7637,-15.568277,27.778353,-15.604988,"IFA_Buenaventura_Hotel","Aqualand",52
27.7637,-15.568277,27.745039,-15.576564,"IFA_Buenaventura_Hotel","Dunas_de_Maspalomas",36
27.7637,-15.568277,27.831776,-15.618175,"IFA_Buenaventura_Hotel","Palmitos_Park",32
27.7637,-15.568277,27.758038,-15.576907,"IFA_Buenaventura_Hotel","Yumbo_Centrum",31
27.7637,-15.568277,27.763123,-15.568179,"IFA_Buenaventura_Hotel","Steakhouse_El_Rancho",22
27.7637,-15.568277,27.760166,-15.568,"IFA_Buenaventura_Hotel","Kasbah",17
27.749235,-15.577181,27.745039,-15.576564,"IFA_Catarina_Hotel","Dunas_de_Maspalomas",54
27.749235,-15.577181,27.758038,-15.576907,"IFA_Catarina_Hotel","Yumbo_Centrum",26
27.749235,-15.577181,27.831776,-15.618175,"IFA_Catarina_Hotel","Palmitos_Park",25
27.749235,-15.577181,27.745996,-15.574797,"IFA_Catarina_Hotel","Playa_de_Maspalomas",21
27.764559,-15.561763,27.831776,-15.618175,"IFA_Continental_Hotel","Palmitos_Park",40
27.764559,-15.561763,27.778353,-15.604988,"IFA_Continental_Hotel","Aqualand",24
27.764559,-15.561763,27.745039,-15.576564,"IFA_Continental_Hotel","Dunas_de_Maspalomas",24
27.764559,-15.561763,27.758499,-15.5775,"IFA_Continental_Hotel","Sparkles_Showbar",17
27.764559,-15.561763,27.758038,-15.576907,"IFA_Continental_Hotel","Yumbo_Centrum",16
27.735641,-15.598276,27.745996,-15.574797,"IFA_Faro_Hotel","Playa_de_Maspalomas",23
27.771294,-15.536186,27.831776,-15.618175,"IFA_Interclub_Atlantic_Hotel","Palmitos_Park",29
27.771294,-15.536186,27.769459,-15.54066,"IFA_Interclub_Atlantic_Hotel","Playa_de_San_Agustin",27
27.771294,-15.536186,27.745996,-15.574797,"IFA_Interclub_Atlantic_Hotel","Playa_de_Maspalomas",18
27.752932,-15.600392,27.831776,-15.618175,"Maspalomas_Oasis_Club","Palmitos_Park",21
27.752932,-15.600392,27.745996,-15.574797,"Maspalomas_Oasis_Club","Playa_de_Maspalomas",20
27.752932,-15.600392,27.778187,-15.604703,"Maspalomas_Oasis_Club","Aqualand_Maspalomas",18
27.752932,-15.600392,27.760815,-15.589158,"Maspalomas_Oasis_Club","Holiday_World_Maspalomas",17
27.751867,-15.597166,27.745996,-15.574797,"Maspalomas_Princess_Hotel","Playa_de_Maspalomas",58
27.751867,-15.597166,27.831776,-15.618175,"Maspalomas_Princess_Hotel","Palmitos_Park",51
27.751867,-15.597166,27.735832,-15.598889,"Maspalomas_Princess_Hotel","El_Faro_de_Maspalomas",36
27.751867,-15.597166,27.739149,-15.598625,"Maspalomas_Princess_Hotel","Moonlight_Cinema",27
27.751867,-15.597166,27.778187,-15.604703,"Maspalomas_Princess_Hotel","Aqualand_Maspalomas",17
27.77072,-15.542993,27.770311,-15.543999,"Melia_Tamarindos","Loopys",46
27.77072,-15.542993,27.770531,-15.54055,"Melia_Tamarindos","El_Capitan",39
27.77072,-15.542993,27.769459,-15.54066,"Melia_Tamarindos","Playa_de_San_Agustin",38
27.77072,-15.542993,27.770037,-15.537663,"Melia_Tamarindos","Balcon_de_San_Agustin",36
27.77072,-15.542993,27.772289,-15.542674,"Melia_Tamarindos","Restaurante_Nitos",19
27.76507,-15.600242,27.831776,-15.618175,"Palm_Oasis_Maspalomas","Palmitos_Park",39
27.76507,-15.600242,27.745996,-15.574797,"Palm_Oasis_Maspalomas","Playa_de_Maspalomas",36
27.76507,-15.600242,27.762928,-15.572214,"Palm_Oasis_Maspalomas","El_Carreton",26
27.76507,-15.600242,27.735832,-15.598889,"Palm_Oasis_Maspalomas","El_Faro_de_Maspalomas",24
27.76507,-15.600242,27.760477,-15.600902,"Palm_Oasis_Maspalomas","Bamboo_Garden",20
27.76507,-15.600242,27.73679,-15.602155,"Palm_Oasis_Maspalomas","Grand_Italia",17
27.758228,-15.57865,27.758038,-15.576907,"Playa_del_Sol_Adults_Only","Yumbo_Centrum",20
27.758228,-15.57865,27.758638,-15.577491,"Playa_del_Sol_Adults_Only","Martel_House",16
27.761801,-15.575458,27.761877,-15.574602,"Santa_Clara_Bungalows","Greek_Village",18
27.737522,-15.595944,27.745996,-15.574797,"Seaside_Palm_Beach","Playa_de_Maspalomas",38
27.737522,-15.595944,27.831776,-15.618175,"Seaside_Palm_Beach","Palmitos_Park",23
27.757954,-15.570632,27.758038,-15.576907,"Seaside_Sandy_Beach","Yumbo_Centrum",17
27.763826,-15.570391,27.758038,-15.576907,"SENTIDO_Gran_Canaria_Princess","Yumbo_Centrum",31
27.763826,-15.570391,27.745039,-15.576564,"SENTIDO_Gran_Canaria_Princess","Dunas_de_Maspalomas",29
27.763826,-15.570391,27.831776,-15.618175,"SENTIDO_Gran_Canaria_Princess","Palmitos_Park",28
27.763826,-15.570391,27.745996,-15.574797,"SENTIDO_Gran_Canaria_Princess","Playa_de_Maspalomas",19
27.763826,-15.570391,27.762928,-15.572214,"SENTIDO_Gran_Canaria_Princess","El_Carreton",19
27.756952,-15.57915,27.757,-15.579,"Servatur_Barbados_Apartments","The_British_Bulldog",17
27.781776,-15.650149,27.745996,-15.574797,"Sheraton_Gran_Canaria_Salobre_Golf_Resort","Playa_de_Maspalomas",74
27.781776,-15.650149,27.783951,-15.65231,"Sheraton_Gran_Canaria_Salobre_Golf_Resort","Camaleon",49
27.781776,-15.650149,27.76454,-15.585423,"Sheraton_Gran_Canaria_Salobre_Golf_Resort","Salobre_Golf_and_Resort",29
27.781776,-15.650149,27.831776,-15.618175,"Sheraton_Gran_Canaria_Salobre_Golf_Resort","Palmitos_Park",28
27.781776,-15.650149,27.735832,-15.598889,"Sheraton_Gran_Canaria_Salobre_Golf_Resort","El_Faro_de_Maspalomas",26
27.760218,-15.579458,27.76018,-15.579716,"Sol_Barbacan_Hotel","Lounge_El_Portalon",26
27.760218,-15.579458,27.758038,-15.576907,"Sol_Barbacan_Hotel","Yumbo_Centrum",16
27.762926,-15.584104,27.745039,-15.576564,"Sunprime_Atlantic_View_Suites_Spa","Dunas_de_Maspalomas",20
27.762926,-15.584104,27.831776,-15.618175,"Sunprime_Atlantic_View_Suites_Spa","Palmitos_Park",18
27.762926,-15.584104,27.762615,-15.578197,"Sunprime_Atlantic_View_Suites_Spa","Tango_Tapas",18
27.752216,-15.596873,27.745996,-15.574797,"Tabaiba_Princess","Playa_de_Maspalomas",52
27.752216,-15.596873,27.831776,-15.618175,"Tabaiba_Princess","Palmitos_Park",42
27.752216,-15.596873,27.735832,-15.598889,"Tabaiba_Princess","El_Faro_de_Maspalomas",28
27.752216,-15.596873,27.739149,-15.598625,"Tabaiba_Princess","Moonlight_Cinema",19
27.752216,-15.596873,27.778187,-15.604703,"Tabaiba_Princess","Aqualand_Maspalomas",17
27.763474,-15.589088,27.745996,-15.574797,"Tisalaya_Park","Playa_de_Maspalomas",18
27.763474,-15.589088,27.760815,-15.589158,"Tisalaya_Park","Holiday_World_Maspalomas",17
27.765469,-15.590933,27.760815,-15.589158,"Turbo_Club","Holiday_World_Maspalomas",43
27.765469,-15.590933,27.745996,-15.574797,"Turbo_Club","Playa_de_Maspalomas",32
27.765469,-15.590933,27.831776,-15.618175,"Turbo_Club","Palmitos_Park",31
27.765469,-15.590933,27.778187,-15.604703,"Turbo_Club","Aqualand_Maspalomas",24
